model_type,model,goal_type,game_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
PDDL_fixed_df,o3-mini-2025-01-31,detailed,9,8,11.0,0.0,5.0,4.0,11.0,1.0,2.75,1.5,20
PDDL_fixed_df,o3-mini-2025-01-31,detailed,11,6,13.0,1.0,10.0,8.0,12.0,2.0,7.5,2.142857142857143,20
baseline,deepseek,detailed,3,13,,,10.0,1.0,,9.0,2.4615384615384617,3.0,20
baseline,deepseek,detailed,5,8,,,23.0,11.0,,12.0,3.375,5.333333333333333,20
baseline,deepseek,detailed,7,10,,,39.0,30.0,,9.0,5.1,7.1,20
baseline,deepseek,detailed,9,12,,,45.0,37.0,,8.0,8.666666666666666,8.625,20
baseline,deepseek,detailed,11,12,,,44.0,33.0,,11.0,10.75,5.5,20
baseline,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,detailed,3,13,,,18.0,7.0,,11.0,3.1538461538461537,2.0,20
baseline,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,detailed,5,6,,,30.0,14.0,,16.0,5.166666666666667,5.357142857142857,20
baseline,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,detailed,7,11,,,40.0,28.0,,12.0,5.818181818181818,8.555555555555555,20
baseline,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,detailed,9,8,,,50.0,37.0,,13.0,7.375,8.75,20
baseline,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,detailed,11,8,,,44.0,31.0,,13.0,4.5,8.083333333333334,20
baseline,gpt-4.1-2025-04-14,detailed,3,20,,,29.0,21.0,,8.0,3.7,,20
baseline,gpt-4.1-2025-04-14,detailed,5,20,,,32.0,27.0,,5.0,6.0,,20
baseline,gpt-4.1-2025-04-14,detailed,7,20,,,33.0,32.0,,1.0,7.8,,20
baseline,gpt-4.1-2025-04-14,detailed,9,18,,,44.0,41.0,,3.0,9.5,20.0,20
baseline,gpt-4.1-2025-04-14,detailed,11,16,,,36.0,32.0,,4.0,9.875,20.0,20
baseline,gpt-4o-2024-05-13,detailed,3,20,,,10.0,8.0,,2.0,3.1,,20
baseline,gpt-4o-2024-05-13,detailed,5,20,,,15.0,14.0,,1.0,5.35,,20
baseline,gpt-4o-2024-05-13,detailed,7,20,,,23.0,22.0,,1.0,7.9,,20
baseline,gpt-4o-2024-05-13,detailed,9,16,,,17.0,16.0,,1.0,7.9375,15.5,20
baseline,gpt-4o-2024-05-13,detailed,11,15,,,28.0,25.0,,3.0,8.666666666666666,20.0,20
baseline,o3-mini-2025-01-31,detailed,3,14,,,12.0,4.0,,8.0,2.642857142857143,2.0,20
baseline,o3-mini-2025-01-31,detailed,5,6,,,29.0,14.0,,15.0,2.3333333333333335,5.928571428571429,20
baseline,o3-mini-2025-01-31,detailed,7,11,,,70.0,60.0,,10.0,6.454545454545454,12.0,20
baseline,o3-mini-2025-01-31,detailed,9,9,,,37.0,27.0,,10.0,4.888888888888889,11.0,20
baseline,o3-mini-2025-01-31,detailed,11,12,,,37.0,33.0,,4.0,5.5,13.75,20
baseline,o4-mini-2025-04-16,detailed,3,1,,,3.0,0.0,,3.0,4.0,3.0,4
baseline,o4-mini-2025-04-16,detailed,5,4,,,10.0,8.0,,2.0,6.25,,4
baseline,o4-mini-2025-04-16,detailed,7,3,,,4.0,3.0,,1.0,8.0,3.0,4
baseline,o4-mini-2025-04-16,detailed,9,4,,,5.0,4.0,,1.0,6.75,,4
baseline,o4-mini-2025-04-16,detailed,11,2,,,5.0,3.0,,2.0,3.0,11.5,4
baseline_multiple_actions,gpt-4.1-2025-04-14,detailed,3,19,0.0,0.0,11.0,10.0,0.0,1.0,1.5789473684210527,2.0,20
